Google Resumes Glass Sales in the US
"Directr, Inc. announced that it expects to receive $1 million in funding."
"Unwired Planet International Adds LG Corp. with Samsung, Google, Huawei, and HTC to German Mobile Patent Lawsuit"
"Skycatch, Inc. announced that it expects to receive $13.23 million in funding."
Oracle Wins Big Appeals Court Ruling against Google in Software Copyright Case
"Flatiron Health, Inc. announced that it has received $130 million in funding from First Round Capital, Google Ventures, Laboratory Corporation of America, and other investors."
Google Inc. (NasdaqGS:GOOGL) acquired Stackdriver Inc. from Flybridge Capital Partners and Bain Capital Ventures.
"Google Inc. (NasdaqGS:GOOGL) acquired Appetas from Right Side Capital Management, Palo Alto Venture Science and TechStars."
Square Denies Discussions With Google
"The Walt Disney Company (NYSE:DIS) completed the acquisition of Maker Studios, Inc. from a group of sellers."
"Vannevar Technology, Inc. announced that it has received $8 million in funding from Andreessen Horowitz, Borealis Ventures, Draper Fisher Jurvetson, Google Ventures, and other investors."
"Google Inc. (NasdaqGS:GOOGL) acquired Adometry, Inc. from Austin Ventures, Shasta Ventures, Sierra Ventures and Stanford Management Company."
Google Inc. Announces Google Now
Wind and Google Sign Direct Carrier Billing Agreement
Google Ireland Holdings acquired Rangespan Limited from Octopus Investments Limited and other shareholders.
Consumer Class-Action Complaint Files in U.S. District Court for the Northern District of California against Google
Hagens Berman Announces Nationwide Antitrust Class-Action Lawsuit Against Google
Related Management Company and Alta Bicycle In Tallks Over Injection Of Capital 
"Bounty Labs, Inc. announced that it has received $1.5 million in funding from Bessemer Venture Partners, Google Ventures, Founder Collective, Maveron LLC, Menlo Ventures, StartX, and other investors."
European Commission Chastens Google for Abusing Smart Phone Patents
"Bristol-Myers Squibb Company (NYSE:BMY) acquired iPierian, Inc. from a group of investors for approximately $730 million."
"Tech Data Corporation to Distribute Google, Inc.'s Chromebook Management Console"
"AdLast, Inc. announced that it has received $12 million in funding from Accel Partners, First Round Capital, Google Ventures, and SV Angel."
Nassiri & Jung LLP Announces Proposed Settlement of Consolidated Class Action Lawsuits Against Google
"Google, Apple, Intel and Adobe Systems Settle Class-Action Lawsuit"
Google Inc. Announces Departure of Vic Gundotra
Lyft Expands to New Markets
Stitch announced that it has received $3.25 million in funding from a group of investors.
